Source IP,Source Port,Destination IP,Destination Port,Protocol,Rx-Pkts,Tx-Pkts,Rx-Bytes,Tx-Bytes,SPLT-Len,SPLT-Data,SNI
10.224.125.81,48962,172.217.174.110,443,TCP,296,651,86320,-710941,1647,"['-1400', '-1311', '-1400', '-1400', '-1400', '-358', '+0', '+0', '+0', '+0', '+0', '+0', '+551', '+1400', '+1400', '+1123', '-0', '-35', '-39', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-520', '-1400', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '-1400', '-1400', '-1234', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+526', '+1400', '-0', '+1400', '+1581', '-0', '-39', '+524', '+1400', '-0', '+1400', '+836', '-0', '+0', '-1400', '-1400', '-1400', '-130', '-257', '+0', '+0', '+0', '+0', '+76', '+31', '+39', '-0', '-39', '-1400', '-1400', '-1400', '-738', '-1400', '-1400', '-734', '+0', '+0', '+0', '+0', '+0', '+72', '+31', '+39', '-0', '+72', '+31', '-0', '-39', '+0', '+549', '+1400', '+1400', '+1400', '-0', '+1400', '-0', '-39', '-1400', '-1400', '-1400', '-717', '-1400', '-1400', '-118', '-1400', '-496', '+0', '-1156', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+76', '+31', '+39', '-0', '-39', '+0', '+238', '+361', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-456', '-1400', '-1400', '-1400', '-1191', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+552', '+1400', '+1400', '-0', '+766', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1400', '-764', '+0', '+0', '+0', '+0', '+0', '+76', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1120', '+0', '+0', '+0', '+0', '+72', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1128', '-1400', '-1400', '-1400', '-863', '-1400', '-1400', '+0', '+0', '+0', '+0', '-1400', '-1400', '-362', '+0', '+0', '+0', '+0', '+0', '+0', '+72', '+31', '+39', '-0', '-39', '+0', '+0', '+0', '+76', '+31', '-0', '+0', '-1400', '-1400', '-796', '+0', '+0', '+0', '+72', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-433', '-257', '+0', '+0', '+0', '+0', '+76', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-438', '-1400', '-1400', '-1400', '-1121', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+62', '+546', '+31', '+39', '-0', '-0', '-0', '-35', '-39', '+0', '+0', '-1400', '-1400', '-775', '+0', '+0', '+0', '+72', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-818', '+0', '+0', '+0', '+72', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-471', '-257', '+0', '+0', '+0', '+0', '+76', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-332', '-1400', '-1400', '-1400', '-622', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-665', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+547', '+1400', '+1400', '-0', '-0', '-0', '-0', '-35', '-39', '+73', '+31', '+77', '+31', '+73', '-0', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-1400', '-169', '-1400', '-1400', '-1400', '-130', '+0', '+0', '+0', '+0', '+0', '+73', '+31', '+39', '+73', '+31', '-0', '-0', '-0', '-0', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-899', '-257', '+0', '+0', '+0', '+0', '+0', '+77', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-233', '-1400', '-494', '-1026', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '-1400', '-1400', '+0', '+0', '-1400', '-1400', '-1400', '+0', '-1400', '-1400', '-1400', '+264', '+181', '-0', '+31', '+39', '-0', '+77', '+31', '-0', '+0', '+0', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '-627', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+35', '-0', '+528', '+1400', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-39', '+0', '-1400', '-1108', '+0', '+0', '+686', '+73', '+31', '+39', '-0', '-39', '-35', '+0', '+0', '-1400', '-1400', '-831', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-417', '-257', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-832', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-495', '-257', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '+0', '-1400', '-1328', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-21', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-597', '-257', '+0', '+75', '+31', '+39', '+79', '+31', '-0', '+75', '+31', '-0', '-39', '+551', '+1400', '+1400', '-0', '-0', '-35', '+0', '+0', '+0', '+0', '+79', '+31', '-0', '-1400', '-1400', '-917', '+0', '-1400', '-1400', '-1400', '-134', '-1400', '-1400', '-1026', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1235', '-1400', '-1103', '+529', '+73', '+31', '+39', '-0', '-39', '+526', '+73', '+31', '-0', '+0', '+0', '+0', '+0', '+75', '+31', '+39', '+75', '-0', '+31', '-39', '+527', '+31', '-0', '+0', '-1400', '-1400', '-438', '-1400', '-1400', '-1400', '-1400', '-1400', '-398', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-264', '+551', '+62', '+31', '+39', '-0', '-39', '-1400', '-1400', '-1400', '-331', '-1400', '-1400', '-1400', '-1144', '-1400', '-1400', '-1400', '-341', '-1400', '-1400', '-1400', '-628', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+527', '+73', '-0', '+31', '+39', '-0', '-39', '+527', '+1400', '+1400', '-0', '+1487', '+590', '+1400', '-0', '+1400', '+233', '+1400', '-0', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1400', '-141', '-1400', '-1400', '-117', '-1400', '-496', '-1198', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+79', '+31', '-0', '+39', '+242', '+232', '+31', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-485', '-1400', '-1400', '-1400', '-942', '-257', '-1400', '-1400', '-1400', '-1268', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+79', '-0', '-1400', '-1400', '-1400', '-793', '-705', '+31', '-0', '+75', '+31', '+0', '-0', '-0', '-1400', '-1400', '-1400', '-965', '-257', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '+0', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '-1400', '-1400', '-1400', '-1400', '-175', '-1400', '-1400', '-1400', '-139', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+75', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-1400', '-679', '-1400', '-1400', '-1400', '-1191', '-1400', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-571', '+0', '+550', '+1400', '+1400', '-0', '+301', '+0', '+0', '+0', '+0', '+0', '+0', '-0', '-39', '+0', '+240', '+175', '+31', '-0', '+79', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-1400', '-477', '-257', '+0', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-54', '+0', '+0', '+0', '+0', '+685', '+73', '+31', '+39', '-0', '-35', '-39', '-35', '+0', '+0', '+0', '-1400', '-1400', '-379', '-705', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '-1400', '-1400', '-715', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-828', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-502', '-257', '+0', '+0', '+0', '+0', '+79', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-850', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-339', '-1400', '-1400', '-1400', '-628', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-775', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+545', '+1400', '+1400', '-0', '-0', '+1400', '-0', '+1400', '+1564', '-0', '-35', '-39', '+75', '+31', '+79', '+75', '+31', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-1400', '-176', '-1400', '-1400', '-1400', '-140', '-1400', '-1400', '-1400', '-909', '-257', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+75', '+31', '+39', '+75', '+31', '-0', '-39', '+79', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-852', '-1400', '-1400', '-1400', '-1400', '-835', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+544', '+62', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1400', '-674', '-1400', '-1400', '-1400', '-1191', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-465', '-1400', '-1400', '-118', '-1400', '-496', '-1035', '+524', '+1400', '+1400', '-0', '-0', '-0', '-39', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+269', '+301', '-0', '+31', '+99', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-1400', '-474', '-257', '+0', '+0', '+0', '+0', '+95', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-1400', '-465', '+0', '+0', '+0', '+0', '+0', '+810', '+73', '+31', '+39', '-0', '-39', '-35', '+0', '+0', '-1400', '-1400', '-830', '-1400', '-1400', '-677', '+0', '+0', '+0', '+0', '+0', '+0', '+117', '+31', '+39', '-0', '-39', '+73', '+31', '-0', '+0', '-1400', '-1400', '-845', '-1400', '-1400', '-764', '+0', '+0', '+0', '+0', '+0', '+0', '+73', '+31', '+39', '-0', '+75', '+31', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-333', '-1400', '-1400', '-1400', '-622', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-751', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+552', '+1400', '+1400', '-0', '-0', '+1096', '-0', '-35', '-39', '+73', '+31', '+126', '-0', '+31', '+31', '-0', '+0', '-1400', '-1400', '-1400', '-1400', '-167', '-1400', '-1400', '-1400', '-132', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+73', '+31', '+39', '+73', '+31', '-0', '-39', '-1400', '-1400', '-1400', '-1159', '+0', '+0', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-1400', '-324', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '-1400', '+0', '+0', '+0', '+0', '-1400', '-803', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+0', '+324', '+353', '-0', '+31', '+39', '-0', '-39', '+75', '+31', '-0', '+525', '+1400', '+1400', '-0', '-0', '-0', '-0', '+0', '-1400', '-1400', '-30', '+0', '+0', '+0', '+73', '+31', '+39', '-0', '-39', '+0', '-1400', '-281', '-257', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1400', '-57', '+0', '+0', '+0', '+73', '+31', '+39', '-0', '-39', '+0', '-1400', '-359', '-257', '+0', '+0', '+0', '+75', '+31', '+39', '-0', '-39', '+0', '-1400', '-1045', '-1400', '-1400', '-1400', '-1363', '+0', '+0', '+0', '+0', '+545', '+62', '+31', '+39', '-0', '-35', '-39', '+0', '+0']",
10.224.125.81,59442,172.217.175.86,443,TCP,47,36,38761,-3335,138,"['-198', '+0', '+130', '+1400', '+1400', '+39', '-0', '-0', '-35', '-39', '+0', '-83', '+117', '+1400', '+1400', '-0', '+1400', '-0', '-0', '-39', '+0', '-84', '-167', '-83', '-84', '-334', '-250', '-95', '-83', '-84', '-95', '+0', '+0', '+0', '+0', '+0', '+115', '+1400', '+1400', '-0', '-0', '-0', '+117', '+1400', '-0', '+1400', '+1400', '-0', '-0', '+1400', '-39', '-0', '-0', '-0', '+0', '+1400', '-0', '-0', '+1400', '-0', '-0', '-0', '+1191', '-0', '-35', '-35', '+0', '+0', '+0', '-196', '-39', '+0', '+0', '+39', '+121', '+1400', '+1400', '-0', '+39', '-0', '-35', '-39', '+0', '-197', '-39', '+0', '+39', '+115', '+1400', '+157', '+39', '-0', '-0', '-35', '-39', '+0', '-195', '+0', '+114', '+1400', '+1400', '-0', '+1400', '-0', '+1583', '+39', '-0', '-39', '+0', '-195', '-39', '+0', '+0', '+39', '+116', '+1400', '+1400', '+1455', '-0', '-0', '+39', '-35', '-39', '+0', '-199', '-39', '+0', '+39', '+126', '+1400', '+1400', '+714', '+39', '-0', '-0', '-35', '-39', '+0']",
10.224.125.81,56016,203.252.15.146,443,TCP,31,7,37590,-6095,183,"['-0', '+0', '-0', '-1400', '-420', '+0', '-0', '-64', '-1400', '-730', '-1400', '-681', '+0', '+0', '+1192', '+281', '+726', '-0', '-0', '-0', '-0', '+1201', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+67', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '+1400', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '+691', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+691', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '-0', '+1400', '+1516', '+1400', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '+1400', '-0', '+691', '+1134', '-0', '-0', '+0']",rr7---sn-ab02a0nfpgxapox-bh2e6.googlevideo.com
10.224.125.81,48176,203.252.15.142,443,TCP,19,7,21433,-5827,93,"['-0', '+0', '-0', '-1400', '-420', '+0', '-0', '-0', '-64', '-1400', '-716', '-1400', '-427', '+0', '+0', '+1192', '+279', '+720', '+363', '+603', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '+1400', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '+1400', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '+1400', '+1400', '+1400', '-0', '-0', '-0', '+76', '-0', '-0', '+0']",rr3---sn-ab02a0nfpgxapox-bh2e6.googlevideo.com
10.224.125.81,44782,142.250.196.97,443,TCP,16,15,13312,-3426,114,"['-0', '+0', '-0', '-1400', '-431', '+0', '+0', '-0', '-0', '-0', '-0', '-74', '-92', '-877', '+980', '+31', '+313', '+1400', '-0', '-31', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1026', '-0', '-39', '+0', '-128', '-39', '+0', '+0', '+39', '+104', '+1400', '-0', '+1400', '-0', '-0', '-0', '-0', '-35', '-0', '-0', '-0', '-0', '-0', '-0', '+875', '-39', '+0', '+0', '-128', '-39', '+0', '+0', '+39', '+105', '+1400', '-0', '+1400', '-0', '-0', '-35', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+0', '-0', '-39', '+0']",lh3.googleusercontent.com
10.224.125.81,36778,172.217.175.225,443,TCP,28,22,13088,-1458,76,"['-143', '-39', '+0', '+0', '+39', '-0', '+103', '+1400', '+627', '-0', '-0', '-0', '+39', '-0', '-35', '-39', '+0', '-142', '-39', '+0', '+39', '+103', '+1400', '-0', '+1015', '+39', '-0', '-35', '-39', '+0', '-142', '-39', '+0', '+39', '+103', '+1400', '+210', '+39', '-0', '-35', '-39', '+0', '-142', '+103', '+1400', '-0', '+1057', '+39', '-0', '-39', '+0', '-142', '-39', '+0', '+0', '+39', '+103', '+1400', '-0', '+995', '+39', '-0', '-35', '-39', '+0', '-143', '-39', '+0', '+39', '+103', '+1137', '-0', '+39', '-35', '-39', '+0']",
10.224.125.81,41368,142.250.196.131,443,TCP,12,13,6421,-2875,50,"['-0', '+0', '-0', '-1400', '-321', '+0', '+0', '-0', '-0', '-0', '+1399', '-0', '-0', '-74', '-92', '-486', '+952', '+31', '-0', '-31', '+0', '+0', '+151', '+1400', '+455', '+39', '-0', '-0', '-39', '-35', '+0', '-0', '+0', '-249', '-39', '+0', '+39', '-0', '+61', '+1400', '+455', '-0', '-0', '-0', '-35', '-35', '+39', '-39', '+0', '+0']",b1.nel.goog
10.224.125.81,60434,118.128.200.76,443,TCP,5,7,5530,-5725,53,"['-0', '+0', '-0', '-1400', '-356', '+0', '-0', '-0', '-64', '-1400', '-708', '-1400', '-397', '+0', '+0', '+1473', '+985', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+272', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0']",rr1---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com
10.224.125.81,57516,172.217.175.14,443,TCP,7,7,5213,-2840,31,"['-0', '+0', '-0', '-1400', '-386', '+0', '+0', '+1400', '-0', '-0', '+1400', '-0', '-0', '-74', '-92', '-818', '+954', '+31', '-0', '-31', '+261', '+1128', '-0', '+39', '-39', '+0', '+0', '-0', '+0', '-0', '+0']",i1.ytimg.com
10.224.125.81,42508,210.92.119.19,443,TCP,7,7,4513,-5832,64,"['-0', '+0', '-0', '-1400', '-355', '+0', '-0', '-64', '-1400', '-712', '-1400', '-501', '+0', '+0', '+1192', '+279', '+726', '+263', '+552', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+1400', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '-0', '+101', '-0', '-0', '+0']",rr8---sn-ab02a0nfpgxapox-jwwk.googlevideo.com
