Source IP,Source Port,Destination IP,Destination Port,Protocol,Rx-Pkts,Tx-Pkts,Rx-Bytes,Tx-Bytes,SPLT-Len,SPLT-Data,SNI,IAT-Data,Direction-Data
10.223.121.3,63149,207.241.224.2,443,TCP,7,3,6249,-426,23,"['-0', '+0', '-0', '-322', '+0', '+1460', '+119', '+1460', '+1460', '+1176', '-0', '-0', '-0', '-0', '-80', '+0', '+287', '+287', '-24', '+0', '+0', '-0', '+0']",archive.org,"[0.0, 0.20527291297912598, 0.20565485954284668, 0.2086169719696045, 0.43112897872924805, 0.43112897872924805, 0.43112897872924805, 0.43112897872924805, 0.43112897872924805, 0.43112897872924805, 0.4314088821411133, 0.43148088455200195, 0.43155694007873535, 0.43162989616394043, 0.4331958293914795, 0.6705498695373535, 0.6705498695373535, 0.6705498695373535, 0.6707799434661865, 0.8842549324035645, 0.8842549324035645, 0.8847739696502686, 1.130673885345459]","[-1, 1, -1, -1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 1, -1, 1]"
10.223.121.3,63155,207.241.231.226,6969,TCP,4,1,5397,-373,12,"['-0', '+0', '-0', '-373', '+1460', '+1460', '-0', '+1460', '+1017', '-0', '-0', '+0']",No SNI,"[0.0, 0.20864391326904297, 0.20899701118469238, 0.21367502212524414, 0.2259058952331543, 0.2259058952331543, 0.22619891166687012, 0.22629308700561523, 0.22657489776611328, 0.22666406631469727, 0.22682690620422363, 0.24277400970458984]","[-1, 1, -1, -1, 1, 1, -1, 1, 1, -1, -1, 1]"
10.223.121.3,63151,207.241.226.111,6969,TCP,4,1,5397,-373,11,"['-0', '+0', '-0', '-373', '+1460', '+1460', '+1460', '+1017', '-0', '-0', '+0']",No SNI,"[0.0, 0.1839759349822998, 0.1847209930419922, 0.1906139850616455, 0.19649004936218262, 0.19649004936218262, 0.19649004936218262, 0.19649004936218262, 0.19709396362304688, 0.19746899604797363, 0.199509859085083]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63240,207.241.226.111,6969,TCP,4,1,5395,-371,11,"['-0', '+0', '-0', '-371', '+1460', '+1460', '+1460', '+1015', '-0', '-0', '+0']",No SNI,"[0.0, 0.1663799285888672, 0.16676688194274902, 0.17025995254516602, 0.1933438777923584, 0.1933438777923584, 0.1933438777923584, 0.1933438777923584, 0.1936509609222412, 0.19379901885986328, 0.20310091972351074]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63244,207.241.231.226,6969,TCP,4,1,5395,-371,11,"['-0', '+0', '-0', '-371', '+1460', '+1460', '+1460', '+1015', '-0', '-0', '+0']",No SNI,"[0.0, 0.16581392288208008, 0.1663198471069336, 0.17030000686645508, 0.1927778720855713, 0.1927778720855713, 0.1927778720855713, 0.1927778720855713, 0.19315886497497559, 0.1934528350830078, 0.20253491401672363]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63193,207.241.231.226,6969,TCP,4,1,5390,-366,11,"['-0', '+0', '-0', '-366', '+1460', '+1460', '+1460', '+1010', '-0', '-0', '+0']",No SNI,"[0.0, 0.1991431713104248, 0.19980311393737793, 0.20297002792358398, 0.2277231216430664, 0.22821497917175293, 0.22821497917175293, 0.22821497917175293, 0.2286231517791748, 0.22869396209716797, 0.23828911781311035]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63189,207.241.226.111,6969,TCP,4,1,5390,-366,11,"['-0', '+0', '-0', '-366', '+1460', '+1460', '+1460', '+1010', '-0', '-0', '+0']",No SNI,"[0.0, 0.18232297897338867, 0.18250799179077148, 0.1864490509033203, 0.19970417022705078, 0.19970417022705078, 0.19970417022705078, 0.19970417022705078, 0.20053410530090332, 0.20076417922973633, 0.20318603515625]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63133,207.241.231.226,6969,TCP,4,1,5390,-366,10,"['-0', '+0', '-0', '-366', '+1460', '+1460', '+1460', '+1010', '-0', '+0']",No SNI,"[0.0, 0.21405291557312012, 0.2146620750427246, 0.22080612182617188, 0.2351970672607422, 0.2351970672607422, 0.2351970672607422, 0.2351970672607422, 0.23623895645141602, 0.24524402618408203]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, 1]"
10.223.121.3,63129,207.241.226.111,6969,TCP,4,1,5390,-366,11,"['-0', '+0', '-0', '-366', '+1460', '+1460', '+1460', '+1010', '-0', '-0', '+0']",No SNI,"[0.0, 0.21520495414733887, 0.2160940170288086, 0.22256207466125488, 0.23634910583496094, 0.23634910583496094, 0.23634910583496094, 0.23634910583496094, 0.23739099502563477, 0.23798012733459473, 0.24639606475830078]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63283,207.241.231.226,6969,TCP,4,1,5388,-364,11,"['-0', '+0', '-0', '-364', '+1460', '+1460', '+1460', '+1008', '-0', '-0', '+0']",No SNI,"[0.0, 0.16495299339294434, 0.16521096229553223, 0.17005705833435059, 0.18392705917358398, 0.18417000770568848, 0.18417000770568848, 0.18417000770568848, 0.18450498580932617, 0.18497896194458008, 0.1927649974822998]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63197,207.241.226.111,6969,TCP,4,1,5388,-364,11,"['-0', '+0', '-0', '-364', '+1460', '+1460', '+1460', '+1008', '-0', '-0', '+0']",No SNI,"[0.0, 0.22059011459350586, 0.2211160659790039, 0.2276761531829834, 0.2364339828491211, 0.2364339828491211, 0.2364339828491211, 0.2364339828491211, 0.23737716674804688, 0.23804402351379395, 0.24432802200317383]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63201,207.241.231.226,6969,TCP,4,1,5388,-364,11,"['-0', '+0', '-0', '-364', '+1460', '+1460', '+1460', '+1008', '-0', '-0', '+0']",No SNI,"[0.0, 0.21995997428894043, 0.22084403038024902, 0.22698497772216797, 0.23580384254455566, 0.23580384254455566, 0.23580384254455566, 0.23580384254455566, 0.23658990859985352, 0.2369539737701416, 0.2436978816986084]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63279,207.241.226.111,6969,TCP,4,1,5388,-364,11,"['-0', '+0', '-0', '-364', '+1460', '+1460', '+1460', '+1008', '-0', '-0', '+0']",No SNI,"[0.0, 0.1658649444580078, 0.16604185104370117, 0.17087197303771973, 0.18483901023864746, 0.18508195877075195, 0.18508195877075195, 0.18508195877075195, 0.18534493446350098, 0.1856379508972168, 0.19367694854736328]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
10.223.121.3,63265,207.241.231.226,6969,TCP,4,1,5384,-360,11,"['-0', '+0', '-0', '-360', '+1460', '+1460', '+1460', '+1004', '-0', '-0', '+0']",No SNI,"[0.0, 0.2033069133758545, 0.20386409759521484, 0.20966506004333496, 0.21769309043884277, 0.21769309043884277, 0.21769309043884277, 0.21769309043884277, 0.21837091445922852, 0.21920394897460938, 0.23114800453186035]","[-1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
